player name,def_cluster
Kavion Pippen,B
Daniel Rodriguez,A
Mario Delas,B
Nemanja Djurisic,A
Maximo Fjellerup,A
Alexis Bartolome Frases,A
Lluis Costa,A
Arvydas Gydra,A
Nikola Rakocevic,A
Carles Bivia,A
Jorge Lafuente,A
Osvaldas Matulionis,A
Domagoj Proleta,B
Alejandro Mazaira,A
Joel Sabate,A
Eduard Gatell,B
Fran Pilepic,A
Thomas Bropleh,A
Robertas Grabauskas,B
Calvin Hermanson,A
Matej Kavas,A
Tomas Pavelka,B
Eddy Polanco,A
Frederic Stutz,B
Kevin Bercy,B
Ander Martinez De La Orden,A
Oliver Arteaga,B
Oscar Alvarado,A
Nedim Dedovic,A
Menno Dijkstra,B
Rodrigo Seoane,A
Joan Feliu Espejo,A
Pere Tomas Noguera,A
Charles Barton,A
James Ellisor,A
Fabio Santana,A
Benjamin Simons,A
Ioannis Dimakopoulos,B
Konstantin Iroslavov Kostadinov,B
Adrian Chapela,A
Rafael Casanova,A
Aitor Zubizarreta,A
Kyle Mallers,A
Gaizka Maiza Apecechea,A
Mikel Sanz,A
Juan Rubio,A
Ondrej Hanzlik,A
Manex Ansorregui,A
Jacobo Diaz Alejano,A
German Martinez,A
Inigo Royo,A
Aegir Thor Steinarsson,A
Mamadou Ndieye Niang,B
David Cuellar Garcia,A
Davis Rozitis,B
Rolandas Jakstas,A
Mouhamed Barro,B
Joan Faner Fahner Catala,A
Pol Figueras Lopes,A
Pavel Savkov,A
Benat Hevia,A
Juan Aleberto Esteves-Garcia Coffi,A
David Hook,A
Sergi Costa Vazquez,A
Alejandro Llorca Castillo,A
David Iriarte,B
Atouman Diagne,B
Edu Martinez,A
Alonso Meana Perez,A
Karamo Jawara,A
Pablo Hernandez Montenegro,A
Ayoze Alonso,A
Miguel Allen Montesdeoca,B
Ashley Hamilton,B
Aaron Menzies,B
Devon van Oostrum,A
Jalen Nesbitt,A
Kadre Gray,A
Fausto Ruesga,A
Ruben Dominguez Gonzales,A
Tarontate De Shawn Crocki,A
Gerard Sevillano,A
Manuel Rodriguez,A
Sergio Mendiola,B
Joey Van Zegeren,B
Adria Domenech,B
Ander Urdiain Labayen,A
Robert Cosialls,A
Ignacio Rosa Pompido,B
Zachary Michael Monaghan,A
Kai Edwards,B
Herve Kabasele Kasonga,B
Wesley David Van Beck,A
Roeland Schaftenaar,B
Pedro Llompart Uson,A
Mikel Motos,A
Shaquille Cleare,B
Arnau Parrado Calabria,A
Karl Olle V. Lundqvist Lundqvist,A
Marc Blanch Espinal,A
Ibon Guridi,A
Marc Penarroya,A
Aitor Etxeguren,B
Juan Ignacio Marcos,A
Marc Gasol,B
Goncalo Delgado,B
Guillem Arcos Gonzalez,A
Amaury Gorgemans,B
Alejandro Hernandez,A
Anthony Elechi,A
Jorge Alain Bilbao Torrontegui,B
Carlos Noguerol Barrenechea,A
Serigne Barro,B
Amadi Ikpeze,B
Christian Diaz Rodriguez,A
Josep Perez,A
