EPS: 2.4, Min Samples: 23, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 24, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 25, Clusters: 2, Silhouette: 0.08
EPS: 2.4, Min Samples: 26, Clusters: 2, Silhouette: 0.08
EPS: 2.5, Min Samples: 2, Clusters: 168, Silhouette: -0.41
EPS: 2.5, Min Samples: 3, Clusters: 61, Silhouette: -0.42
EPS: 2.5, Min Samples: 4, Clusters: 22, Silhouette: -0.37
EPS: 2.5, Min Samples: 5, Clusters: 19, Silhouette: -0.36
EPS: 2.5, Min Samples: 6, Clusters: 17, Silhouette: -0.35
EPS: 2.5, Min Samples: 7, Clusters: 15, Silhouette: -0.35
EPS: 2.5, Min Samples: 8, Clusters: 13, Silhouette: -0.32
EPS: 2.5, Min Samples: 9, Clusters: 11, Silhouette: -0.35
EPS: 2.5, Min Samples: 10, Clusters: 8, Silhouette: -0.33
EPS: 2.5, Min Samples: 11, Clusters: 6, Silhouette: -0.31
EPS: 2.5, Min Samples: 12, Clusters: 5, Silhouette: -0.31
EPS: 2.5, Min Samples: 13, Clusters: 3, Silhouette: -0.23
EPS: 2.5, Min Samples: 14, Clusters: 2, Silhouette: 0.09
EPS: 2.5, Min Samples: 15, Clusters: 2, Silhouette: 0.09
EPS: 2.5, Min Samples: 16, Clusters: 2, Silhouette: 0.09
EPS: 2.5, Min Samples: 17, Clusters: 2, Silhouette: 0.09
EPS: 2.5, Min Samples: 18, Clusters: 2, Silhouette: 0.09
EPS: 2.5, Min Samples: 19, Clusters: 2, Silhouette: 0.09
EPS: 2.5, Min Samples: 20, Clusters: 2, Silhouette: 0.09
EPS: 2.5, Min Samples: 21, Clusters: 2, Silhouette: 0.09
EPS: 2.5, Min Samples: 22, Clusters: 2, Silhouette: 0.08
EPS: 2.5, Min Samples: 23, Clusters: 2, Silhouette: 0.08
EPS: 2.5, Min Samples: 24, Clusters: 2, Silhouette: 0.08
EPS: 2.5, Min Samples: 25, Clusters: 2, Silhouette: 0.08
EPS: 2.5, Min Samples: 26, Clusters: 2, Silhouette: 0.08
EPS: 2.5, Min Samples: 27, Clusters: 2, Silhouette: 0.08
EPS: 2.5, Min Samples: 2, Clusters: 157, Silhouette: -0.41
EPS: 2.5, Min Samples: 3, Clusters: 53, Silhouette: -0.41
EPS: 2.5, Min Samples: 4, Clusters: 18, Silhouette: -0.34
EPS: 2.5, Min Samples: 5, Clusters: 13, Silhouette: -0.32
EPS: 2.5, Min Samples: 6, Clusters: 14, Silhouette: -0.32
EPS: 2.5, Min Samples: 7, Clusters: 16, Silhouette: -0.34
EPS: 2.5, Min Samples: 8, Clusters: 13, Silhouette: -0.33
EPS: 2.5, Min Samples: 9, Clusters: 12, Silhouette: -0.35
EPS: 2.5, Min Samples: 10, Clusters: 9, Silhouette: -0.32
EPS: 2.5, Min Samples: 11, Clusters: 7, Silhouette: -0.31
EPS: 2.5, Min Samples: 12, Clusters: 6, Silhouette: -0.31
EPS: 2.5, Min Samples: 13, Clusters: 4, Silhouette: -0.28
EPS: 2.5, Min Samples: 14, Clusters: 3, Silhouette: -0.20
EPS: 2.5, Min Samples: 15, Clusters: 3, Silhouette: -0.21
EPS: 2.5, Min Samples: 16, Clusters: 3, Silhouette: -0.22
EPS: 2.5, Min Samples: 17, Clusters: 3, Silhouette: -0.22
EPS: 2.5, Min Samples: 18, Clusters: 3, Silhouette: -0.22
EPS: 2.5, Min Samples: 19, Clusters: 3, Silhouette: -0.22
EPS: 2.5, Min Samples: 20, Clusters: 3, Silhouette: -0.22
EPS: 2.5, Min Samples: 21, Clusters: 2, Silhouette: 0.09
EPS: 2.5, Min Samples: 22, Clusters: 2, Silhouette: 0.09
EPS: 2.5, Min Samples: 23, Clusters: 2, Silhouette: 0.08
EPS: 2.5, Min Samples: 24, Clusters: 2, Silhouette: 0.08
EPS: 2.5, Min Samples: 25, Clusters: 2, Silhouette: 0.08
EPS: 2.5, Min Samples: 26, Clusters: 2, Silhouette: 0.08
EPS: 2.5, Min Samples: 27, Clusters: 2, Silhouette: 0.08
EPS: 2.5, Min Samples: 28, Clusters: 2, Silhouette: 0.08
EPS: 2.6, Min Samples: 2, Clusters: 154, Silhouette: -0.40
EPS: 2.6, Min Samples: 3, Clusters: 53, Silhouette: -0.40
EPS: 2.6, Min Samples: 4, Clusters: 22, Silhouette: -0.37
EPS: 2.6, Min Samples: 5, Clusters: 12, Silhouette: -0.33
EPS: 2.6, Min Samples: 6, Clusters: 10, Silhouette: -0.29
EPS: 2.6, Min Samples: 7, Clusters: 10, Silhouette: -0.30
EPS: 2.6, Min Samples: 8, Clusters: 13, Silhouette: -0.32
EPS: 2.6, Min Samples: 9, Clusters: 13, Silhouette: -0.33
EPS: 2.6, Min Samples: 10, Clusters: 13, Silhouette: -0.34
EPS: 2.6, Min Samples: 11, Clusters: 9, Silhouette: -0.33
EPS: 2.6, Min Samples: 12, Clusters: 6, Silhouette: -0.28
EPS: 2.6, Min Samples: 13, Clusters: 4, Silhouette: -0.27
EPS: 2.6, Min Samples: 14, Clusters: 4, Silhouette: -0.28
EPS: 2.6, Min Samples: 15, Clusters: 3, Silhouette: -0.19
EPS: 2.6, Min Samples: 16, Clusters: 4, Silhouette: -0.23
EPS: 2.6, Min Samples: 17, Clusters: 4, Silhouette: -0.23
EPS: 2.6, Min Samples: 18, Clusters: 3, Silhouette: -0.21
EPS: 2.6, Min Samples: 19, Clusters: 3, Silhouette: -0.22
EPS: 2.6, Min Samples: 20, Clusters: 3, Silhouette: -0.22
EPS: 2.6, Min Samples: 21, Clusters: 3, Silhouette: -0.22
EPS: 2.6, Min Samples: 22, Clusters: 2, Silhouette: 0.09
EPS: 2.6, Min Samples: 23, Clusters: 2, Silhouette: 0.09
EPS: 2.6, Min Samples: 24, Clusters: 2, Silhouette: 0.08
EPS: 2.6, Min Samples: 25, Clusters: 2, Silhouette: 0.08
EPS: 2.6, Min Samples: 26, Clusters: 2, Silhouette: 0.08
EPS: 2.6, Min Samples: 27, Clusters: 2, Silhouette: 0.08
EPS: 2.6, Min Samples: 28, Clusters: 2, Silhouette: 0.08
EPS: 2.6, Min Samples: 29, Clusters: 2, Silhouette: 0.08
EPS: 2.6, Min Samples: 30, Clusters: 2, Silhouette: 0.08
EPS: 2.6, Min Samples: 31, Clusters: 2, Silhouette: 0.08
EPS: 2.6, Min Samples: 2, Clusters: 145, Silhouette: -0.40
EPS: 2.6, Min Samples: 3, Clusters: 45, Silhouette: -0.39
EPS: 2.6, Min Samples: 4, Clusters: 22, Silhouette: -0.37
EPS: 2.6, Min Samples: 5, Clusters: 12, Silhouette: -0.33
EPS: 2.6, Min Samples: 6, Clusters: 8, Silhouette: -0.28
EPS: 2.6, Min Samples: 7, Clusters: 7, Silhouette: -0.25
EPS: 2.6, Min Samples: 8, Clusters: 7, Silhouette: -0.26
EPS: 2.6, Min Samples: 9, Clusters: 11, Silhouette: -0.32
EPS: 2.6, Min Samples: 10, Clusters: 12, Silhouette: -0.32
EPS: 2.6, Min Samples: 11, Clusters: 8, Silhouette: -0.31
EPS: 2.6, Min Samples: 12, Clusters: 9, Silhouette: -0.30
EPS: 2.6, Min Samples: 13, Clusters: 9, Silhouette: -0.32
EPS: 2.6, Min Samples: 14, Clusters: 7, Silhouette: -0.33
EPS: 2.6, Min Samples: 15, Clusters: 4, Silhouette: -0.28
EPS: 2.6, Min Samples: 16, Clusters: 3, Silhouette: -0.18
EPS: 2.6, Min Samples: 17, Clusters: 4, Silhouette: -0.23
EPS: 2.6, Min Samples: 18, Clusters: 4, Silhouette: -0.23
EPS: 2.6, Min Samples: 19, Clusters: 4, Silhouette: -0.23
EPS: 2.6, Min Samples: 20, Clusters: 3, Silhouette: -0.21
EPS: 2.6, Min Samples: 21, Clusters: 3, Silhouette: -0.21
EPS: 2.6, Min Samples: 22, Clusters: 3, Silhouette: -0.22
EPS: 2.6, Min Samples: 23, Clusters: 3, Silhouette: -0.22
EPS: 2.6, Min Samples: 24, Clusters: 3, Silhouette: -0.22
EPS: 2.6, Min Samples: 25, Clusters: 3, Silhouette: -0.22
EPS: 2.6, Min Samples: 26, Clusters: 2, Silhouette: 0.08
EPS: 2.6, Min Samples: 27, Clusters: 2, Silhouette: 0.08
EPS: 2.6, Min Samples: 28, Clusters: 2, Silhouette: 0.08
EPS: 2.6, Min Samples: 29, Clusters: 2, Silhouette: 0.08
EPS: 2.6, Min Samples: 30, Clusters: 2, Silhouette: 0.08
EPS: 2.6, Min Samples: 31, Clusters: 2, Silhouette: 0.08
EPS: 2.6, Min Samples: 32, Clusters: 2, Silhouette: 0.08
EPS: 2.6, Min Samples: 33, Clusters: 2, Silhouette: 0.08
EPS: 2.6, Min Samples: 34, Clusters: 2, Silhouette: 0.08
EPS: 2.6, Min Samples: 35, Clusters: 2, Silhouette: 0.08
EPS: 2.7, Min Samples: 2, Clusters: 143, Silhouette: -0.40
EPS: 2.7, Min Samples: 3, Clusters: 39, Silhouette: -0.36
EPS: 2.7, Min Samples: 4, Clusters: 22, Silhouette: -0.35
EPS: 2.7, Min Samples: 5, Clusters: 13, Silhouette: -0.32
EPS: 2.7, Min Samples: 6, Clusters: 8, Silhouette: -0.28
EPS: 2.7, Min Samples: 7, Clusters: 6, Silhouette: -0.23
EPS: 2.7, Min Samples: 8, Clusters: 7, Silhouette: -0.24
EPS: 2.7, Min Samples: 9, Clusters: 7, Silhouette: -0.27
EPS: 2.7, Min Samples: 10, Clusters: 8, Silhouette: -0.30
EPS: 2.7, Min Samples: 11, Clusters: 9, Silhouette: -0.31
EPS: 2.7, Min Samples: 12, Clusters: 8, Silhouette: -0.29
EPS: 2.7, Min Samples: 13, Clusters: 9, Silhouette: -0.32
EPS: 2.7, Min Samples: 14, Clusters: 8, Silhouette: -0.30
EPS: 2.7, Min Samples: 15, Clusters: 7, Silhouette: -0.31
EPS: 2.7, Min Samples: 16, Clusters: 7, Silhouette: -0.31
EPS: 2.7, Min Samples: 17, Clusters: 5, Silhouette: -0.31
EPS: 2.7, Min Samples: 18, Clusters: 3, Silhouette: -0.18
EPS: 2.7, Min Samples: 19, Clusters: 3, Silhouette: -0.18
EPS: 2.7, Min Samples: 20, Clusters: 3, Silhouette: -0.18
EPS: 2.7, Min Samples: 21, Clusters: 4, Silhouette: -0.22
EPS: 2.7, Min Samples: 22, Clusters: 3, Silhouette: -0.21
EPS: 2.7, Min Samples: 23, Clusters: 3, Silhouette: -0.21
EPS: 2.7, Min Samples: 24, Clusters: 3, Silhouette: -0.21
EPS: 2.7, Min Samples: 25, Clusters: 3, Silhouette: -0.22
EPS: 2.7, Min Samples: 26, Clusters: 2, Silhouette: 0.09
EPS: 2.7, Min Samples: 27, Clusters: 2, Silhouette: 0.09
EPS: 2.7, Min Samples: 28, Clusters: 2, Silhouette: 0.08
EPS: 2.7, Min Samples: 29, Clusters: 2, Silhouette: 0.08
EPS: 2.7, Min Samples: 30, Clusters: 2, Silhouette: 0.08
EPS: 2.7, Min Samples: 31, Clusters: 2, Silhouette: 0.08
EPS: 2.7, Min Samples: 32, Clusters: 2, Silhouette: 0.08
EPS: 2.7, Min Samples: 33, Clusters: 2, Silhouette: 0.08
EPS: 2.7, Min Samples: 34, Clusters: 2, Silhouette: 0.08
EPS: 2.7, Min Samples: 35, Clusters: 2, Silhouette: 0.08
EPS: 2.7, Min Samples: 36, Clusters: 2, Silhouette: 0.08
EPS: 2.7, Min Samples: 2, Clusters: 136, Silhouette: -0.39
EPS: 2.7, Min Samples: 3, Clusters: 37, Silhouette: -0.34
EPS: 2.7, Min Samples: 4, Clusters: 21, Silhouette: -0.34
EPS: 2.7, Min Samples: 5, Clusters: 16, Silhouette: -0.33
EPS: 2.7, Min Samples: 6, Clusters: 10, Silhouette: -0.28
EPS: 2.7, Min Samples: 7, Clusters: 4, Silhouette: -0.10
EPS: 2.7, Min Samples: 8, Clusters: 5, Silhouette: -0.24
EPS: 2.7, Min Samples: 9, Clusters: 5, Silhouette: -0.24
EPS: 2.7, Min Samples: 10, Clusters: 9, Silhouette: -0.28
EPS: 2.7, Min Samples: 11, Clusters: 9, Silhouette: -0.29
EPS: 2.7, Min Samples: 12, Clusters: 8, Silhouette: -0.28
EPS: 2.7, Min Samples: 13, Clusters: 7, Silhouette: -0.27
EPS: 2.7, Min Samples: 14, Clusters: 6, Silhouette: -0.26
EPS: 2.7, Min Samples: 15, Clusters: 8, Silhouette: -0.31
EPS: 2.7, Min Samples: 16, Clusters: 7, Silhouette: -0.30
EPS: 2.7, Min Samples: 17, Clusters: 7, Silhouette: -0.30
EPS: 2.7, Min Samples: 18, Clusters: 6, Silhouette: -0.31
EPS: 2.7, Min Samples: 19, Clusters: 5, Silhouette: -0.27
EPS: 2.7, Min Samples: 20, Clusters: 4, Silhouette: -0.27
EPS: 2.7, Min Samples: 21, Clusters: 4, Silhouette: -0.27
EPS: 2.7, Min Samples: 22, Clusters: 4, Silhouette: -0.28
EPS: 2.7, Min Samples: 23, Clusters: 3, Silhouette: -0.20
EPS: 2.7, Min Samples: 24, Clusters: 3, Silhouette: -0.20
EPS: 2.7, Min Samples: 25, Clusters: 3, Silhouette: -0.20
EPS: 2.7, Min Samples: 26, Clusters: 3, Silhouette: -0.21
EPS: 2.7, Min Samples: 27, Clusters: 3, Silhouette: -0.21
EPS: 2.7, Min Samples: 28, Clusters: 3, Silhouette: -0.22
EPS: 2.7, Min Samples: 29, Clusters: 2, Silhouette: 0.09
EPS: 2.7, Min Samples: 30, Clusters: 2, Silhouette: 0.08
EPS: 2.7, Min Samples: 31, Clusters: 2, Silhouette: 0.08
EPS: 2.7, Min Samples: 32, Clusters: 2, Silhouette: 0.08
EPS: 2.7, Min Samples: 33, Clusters: 2, Silhouette: 0.08
